Plaid Category ID,Plaid Top Level Category Name,Plaid Category Name,IRS Category ID,IRS Category Name,Flag,Notes,
10000000,Bank Fees,Bank Fees,2,Fees,,,
10001000,Bank Fees,Bank Fees > Overdraft,2,Fees,,,
10002000,Bank Fees,Bank Fees > ATM,2,Fees,,,
10003000,Bank Fees,Bank Fees > Late Payment,2,Fees,,,
10004000,Bank Fees,Bank Fees > Fraud Dispute,2,Fees,,,
10005000,Bank Fees,Bank Fees > Foreign Transaction,2,Fees,,,
10006000,Bank Fees,Bank Fees > Wire Transfer,2,Fees,,,
10007000,Bank Fees,Bank Fees > Insufficient Funds,2,Fees,,,
10008000,Bank Fees,Bank Fees > Cash Advance,2,Fees,,,
10009000,Bank Fees,Bank Fees > Excess Activity,2,Fees,,,
11000000,Cash Advance,Cash Advance,2,Fees,,,
12000000,Community,Community,16,Professional Development,,,
12001000,Community,Community > Animal Shelter,16,Professional Development,,,
12002000,Community,Community > Assisted Living Services,16,Professional Development,,,
12002001,Community,Community > Assisted Living Services > Facilities and Nursing Homes,16,Professional Development,,,
12002002,Community,Community > Assisted Living Services > Caretakers,16,Professional Development,,,
12003000,Community,Community > Cemetery,16,Professional Development,,,
12004000,Community,Community > Courts,16,Professional Development,,,
12005000,Community,Community > Day Care and Preschools,16,Professional Development,,,
12006000,Community,Community > Disabled Persons Services,16,Professional Development,,,
12007000,Community,Community > Drug and Alcohol Services,16,Professional Development,,,
12008000,Community,Community > Education,16,Professional Development,,,
12008001,Community,Community > Education > Vocational Schools,16,Professional Development,,,
12008002,Community,Community > Education > Tutoring and Educational Services,16,Professional Development,,,
12008003,Community,Community > Education > Primary and Secondary Schools,16,Professional Development,,,
12008004,Community,Community > Education > Fraternities and Sororities,16,Professional Development,,,
12008005,Community,Community > Education > Driving Schools,16,Professional Development,,,
12008006,Community,Community > Education > Dance Schools,16,Professional Development,,,
12008007,Community,Community > Education > Culinary Lessons and Schools,16,Professional Development,,,
12008008,Community,Community > Education > Computer Training,16,Professional Development,,,
12008009,Community,Community > Education > Colleges and Universities,16,Professional Development,,,
12008010,Community,Community > Education > Art School,16,Professional Development,,,
12008011,Community,Community > Education > Adult Education,16,Professional Development,,,
12009000,Community,Community > Government Departments and Agencies,16,Professional Development,,,
12010000,Community,Community > Government Lobbyists,16,Professional Development,,,
12011000,Community,Community > Housing Assistance and Shelters,16,Professional Development,,,
12012000,Community,Community > Law Enforcement,16,Professional Development,,,
12012001,Community,Community > Law Enforcement > Police Stations,16,Professional Development,,,
12012002,Community,Community > Law Enforcement > Fire Stations,16,Professional Development,,,
12012003,Community,Community > Law Enforcement > Correctional Institutions,16,Professional Development,,,
12013000,Community,Community > Libraries,16,Professional Development,,,
12014000,Community,Community > Military,16,Professional Development,,,
12015000,Community,Community > Organizations and Associations,16,Professional Development,,,
12015001,Community,Community > Organizations and Associations > Youth Organizations,16,Professional Development,,,
12015002,Community,Community > Organizations and Associations > Environmental,16,Professional Development,,,
